method,category,seed_count,total_reward,total_reward_std,terminal_time_min,terminal_time_min_std,full_restoration_rate,full_restoration_rate_std,restored_edges,restored_edges_std,remaining_failed_edges,remaining_failed_edges_std,mean_served_ratio,mean_served_ratio_std,shed_energy_kwh,shed_energy_kwh_std,mean_packet_delivery_rate,mean_packet_delivery_rate_std,mean_delay_ms,mean_delay_ms_std,control_available_rate,control_available_rate_std,blocked_attempts,blocked_attempts_std,relay_action_rate,relay_action_rate_std,powered_controller_rate,powered_controller_rate_std,mean_target_traffic_edge_count,mean_target_traffic_edge_count_std,mean_target_travel_time_s,mean_target_travel_time_s_std,mean_target_robust_travel_time_s,mean_target_robust_travel_time_s_std,mean_action_duration_min,mean_action_duration_min_std,traffic_feasible_rate,traffic_feasible_rate_std
SAFE-GPINN,MARL,5,415.232168097,0.0,113.94357399999998,1.5888218580782548e-14,1.0,0.0,8.0,0.0,0.0,0.0,0.9671973891443185,0.0,474.1217699648263,0.0,0.9504631439283585,1.2412670766236366e-16,36.461205473666666,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.5833333333333334,0.0,2.3333333333333335,0.0,222.95913933333335,0.0,300.99483791666665,0.0,9.495297833333334,0.0,1.0,0.0
MADDPG~\cite{lowe2017maddpg},MARL,5,-7051.2767251682,300.1774754751484,315.65238600000004,0.6720068704827268,0.0,0.0,1.0,1.0,7.0,1.0,0.9999998469296317,2.513987514191165e-07,0.0007462908638400002,0.0005962142185376497,0.8258452424194443,0.0005600054702846396,12.772004295800004,0.04032039386049481,0.8666666666666668,1.2412670766236366e-16,29.0,1.0,0.0,0.0,0.16666666666666666,0.03333333333333334,2.2333333333333334,0.04082482904638634,230.5961119399999,0.9955652648487683,311.3047515266668,1.3440131286831494,10.521746199999995,0.0224002290160912,1.0,0.0
MAPPO~\cite{yu2022mappo},MARL,5,-7494.3415452552,70.29413222190564,347.29176800000005,15.641246673654742,0.0,0.0,0.0,0.0,8.0,0.0,1.0000000986300823,0.0,0.00019672081989333332,1.166353417887074e-05,0.7994790812222222,0.013034377782567809,14.670367902000004,0.9384752003448876,0.8666666666666668,1.2412670766236366e-16,30.0,0.0,0.0,0.0,0.10666666666666666,0.03651483716701107,4.1066666666666665,1.1436782764396638,277.4692875399999,23.1722272607875,374.58353839999984,31.28250667816282,11.57639226666666,0.5213748891218256,1.0,0.0
QMIX~\cite{rashid2018qmix},MARL,5,-6522.0934604934,1139.4232113407193,335.4147142,23.944179467101947,0.0,0.0,1.8,2.04939015319192,6.2,2.04939015319192,0.9903427855901382,0.019462542423510913,200.08785446904196,412.4351055902367,0.8211887649090277,0.036497956584519715,18.158968054293336,3.1477432250184756,0.9133333333333333,0.04472135954999579,26.0,3.7416573867739413,0.12,0.13662601021279464,0.16666666666666666,0.06666666666666668,4.1,1.064581294844754,277.8792597933333,24.069752894915236,375.1370008999999,32.49416635981558,11.18049047333333,0.7981393155700652,1.0,0.0
VDN~\cite{sunehag2018vdn},MARL,5,-6143.599143082201,607.034056135085,306.6828044,25.34505467956214,0.0,0.0,2.2,1.4832396974191326,5.8,1.4832396974191326,0.999999753047133,2.984453061234856e-07,0.00069876408732,0.00045524936123109134,0.8440671090916666,0.025346159292984154,16.23640491910667,2.237894484258049,0.9133333333333334,0.018257418583505533,25.6,1.9493588689617927,0.12,0.06912147117775908,0.12666666666666665,0.04346134936801766,3.6533333333333333,0.6362214848445292,237.7826559733333,39.22317244266098,321.0065855,52.95128302787774,10.222760146666664,0.8448351559854025,1.0,0.0
HAPPO/HATRPO~\cite{kuba2022trustregionmarl},MARL,5,-7401.877732597,269.2420493240338,353.50749060000004,0.8223699942445536,0.0,0.0,0.4,0.8944271909999161,7.6,0.8944271909999157,1.0000000313889181,1.503558137717552e-07,0.00034624398121333333,0.0003514629525992567,0.7942993096833334,0.0006853082116638585,15.043311452800003,0.0493421912397978,0.8666666666666668,1.2412670766236366e-16,29.6,0.8944271909999159,0.0,0.0,0.13333333333333333,0.047140452079103175,4.633333333333335,0.03333333333333366,286.6777703266666,1.218325710199131,387.0149900933331,1.6447397079932964,11.783583019999993,0.027412333141485355,1.0,0.0
MAT~\cite{wen2022mat},MARL,5,-6300.393363233401,980.7888795564791,328.71400600000004,20.94809909272485,0.0,0.0,1.6,1.51657508881031,6.4,1.51657508881031,1.0000005947270791,1.3190570553314126e-06,0.0007673014622600002,0.0007352039193088836,0.8173749562736111,0.02581804072945583,18.426880492546672,3.3211031347555364,0.9066666666666666,0.036514837167011066,25.4,3.6469165057620936,0.13333333333333333,0.13540064007726602,0.15333333333333332,0.08027729719194864,4.220000000000001,0.41001354991159894,276.29323186,18.172728746343683,372.9958630666666,24.53318391257991,10.95713353333333,0.6982699697574917,1.0,0.0
CQL~\cite{kumar2020cql},Offline RL,5,-7107.6657489808,295.4612639788019,319.4535444,39.67104070857375,0.0,0.0,0.0,0.0,8.0,0.0,1.0000000986300823,0.0,0.00019933822513333336,5.0455516235111174e-06,0.8219620425152779,0.03075250399449134,14.758768053333338,2.1356756484322883,0.8866666666666667,0.018257418583505533,28.8,0.8366600265340756,0.039999999999999994,0.027888667551135848,0.10666666666666666,0.03651483716701107,4.38,0.39763187889191065,248.40130949999994,55.28294427544578,335.3417677399999,74.63197507148163,10.648451479999997,1.3223680236191222,1.0,0.0
TD3~\cite{fujimoto2021td3bc},Offline RL,5,-7300.6321945482005,135.65033163846613,317.56720359999997,0.420520310411759,0.0,0.0,0.2,0.447213595499958,7.8,0.4472135954999579,0.9999999814119599,2.6210768994995316e-07,0.00048796589233333356,0.0006351194520725616,0.8242495615194443,0.00035043357337584554,12.886893320600004,0.025231217283064454,0.8666666666666668,1.2412670766236366e-16,29.8,0.4472135954999579,0.0,0.0,0.13999999999999999,0.014907119849998594,2.1399999999999997,0.014907119849998545,233.43287795333327,0.6229930160222397,315.1343856866667,0.841040576102123,10.585573453333328,0.014017343680391862,1.0,0.0
IQL~\cite{kostrikov2022iql},Offline RL,5,-6186.480155513001,492.2769924887031,333.7014288,6.065360939162201,0.0,0.0,1.4,0.8944271909999159,6.6,0.8944271909999159,0.996842780317208,0.003303329718349485,36.147415990673,34.54916581300723,0.8205882678173613,0.01108960672163264,19.761164847160003,1.3989152881589781,0.9533333333333334,0.029814239699997188,25.2,1.6431676725154984,0.15999999999999998,0.05477225575051661,0.16666666666666666,0.03333333333333334,4.673333333333334,0.0434613493680175,291.93254202666657,1.5757527257432435,394.1089318933332,2.127266183266961,11.123380959999995,0.2021786979720743,1.0,0.0
Diffusion planner~\cite{janner2022diffuser},Planning,5,-2801.3487493692,369.93352003796764,111.1663538,1.2867702192455286,1.0,0.0,8.0,0.0,0.0,0.0,0.6414663125108007,0.03925732139275769,4575.419015819711,454.6632897081447,0.9303487711302083,0.004319701207218231,43.82596279403334,0.720475713705279,1.0,0.0,0.0,0.0,1.0,0.0,0.7416666666666666,0.06631853547951846,2.55,0.15975241260567336,235.1465286361111,5.822243709723476,317.44781364166664,7.860029019632612,12.961892183333333,0.6996174843622511,1.0,0.0
Two-stage MILP~\cite{zhong2025ptin},Planning,5,-3114.502877633,0.0,110.21753900000002,1.5888218580782548e-14,1.0,0.0,8.0,0.0,0.0,0.0,0.6051317694315115,0.0,4981.763923761041,0.0,0.9252138752083333,0.0,44.65461569,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,2.375,0.0,230.435331125,0.0,311.087697,0.0,13.777192374999998,0.0,1.0,0.0
RH-MPC~\cite{rawlings2017mpc},Planning,5,349.774037865,0.0,117.658896,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.9642154049921906,1.2412670766236366e-16,577.2618406725076,0.0,0.9495698531818182,1.2412670766236366e-16,40.90870353763636,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5454545454545454,0.0,2.272727272727273,0.0,227.73234790909092,0.0,307.4386696363636,0.0,10.696263272727272,0.0,1.0,0.0
Greedy,Heuristic,5,-7374.145551126001,1.016845989170083e-12,320.598443,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0000000986300823,0.0,0.00020886145540000004,3.030437198788175e-20,0.8217235227499998,1.2412670766236366e-16,13.068768112000006,0.0,0.8666666666666668,1.2412670766236366e-16,30.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,237.92361410000004,0.0,321.19687873333334,0.0,10.68661476666667,0.0,1.0,0.0
Load-gain,Heuristic,5,-6882.637341011,0.0,308.763059,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0000000986300823,0.0,0.00022677340509999998,0.0,0.8311162332013888,0.0,15.22044236966667,0.0,0.9,0.0,28.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,2.066666666666667,0.0,238.11060313333329,0.0,321.44931466666674,0.0,10.292101966666662,0.0,1.0,0.0
